"image_id","predicted_label","human_label","notes"
"24","","6","from_accuracy_dataset"
"58","","2","from_accuracy_dataset"
"68","","5","from_accuracy_dataset"
"75","","6","from_accuracy_dataset"
"79","","5","from_accuracy_dataset"
"90","","5","from_accuracy_dataset"
"109","","0","from_accuracy_dataset"
"152","","2","from_accuracy_dataset"
"159","","2","from_accuracy_dataset"
"214","","0","from_accuracy_dataset"
"252","","1","from_accuracy_dataset"
"299","","0","from_accuracy_dataset"
"314","","9","from_accuracy_dataset"
"326","","5","from_accuracy_dataset"
"357","","2","from_accuracy_dataset"
"367","","4","from_accuracy_dataset"
"368","","2","from_accuracy_dataset"
"369","","2","from_accuracy_dataset"
"404","","8","from_accuracy_dataset"
"426","","1","from_accuracy_dataset"
"433","","5","from_accuracy_dataset"
"464","","0","from_accuracy_dataset"
"465","","2","from_accuracy_dataset"
"470","","5","from_accuracy_dataset"
"487","","6","from_accuracy_dataset"
"510","","8","from_accuracy_dataset"
"521","","5","from_accuracy_dataset"
"528","","6","from_accuracy_dataset"
"568","","0","from_accuracy_dataset"
"604","","8","from_accuracy_dataset"
"609","","7","from_accuracy_dataset"
"615","","7","from_accuracy_dataset"
"618","","0","from_accuracy_dataset"
"638","","5","from_accuracy_dataset"
"643","","4","from_accuracy_dataset"
"659","","0","from_accuracy_dataset"
"665","","9","from_accuracy_dataset"
"666","","2","from_accuracy_dataset"
"702","","6","from_accuracy_dataset"
"713","","1","from_accuracy_dataset"
"741","","9","from_accuracy_dataset"
"766","","6","from_accuracy_dataset"
"796","","1","from_accuracy_dataset"
"834","","5","from_accuracy_dataset"
"868","","6","from_accuracy_dataset"
"879","","8","from_accuracy_dataset"
"881","","8","from_accuracy_dataset"
"932","","6","from_accuracy_dataset"
"933","","4","from_accuracy_dataset"
"936","","3","from_accuracy_dataset"
"960","","0","from_accuracy_dataset"
"963","","4","from_accuracy_dataset"
"969","","3","from_accuracy_dataset"
"972","","9","from_accuracy_dataset"
"981","","0","from_accuracy_dataset"
"1029","","4","from_accuracy_dataset"
"1032","","1","from_accuracy_dataset"
"1065","","0","from_accuracy_dataset"
"1092","","8","from_accuracy_dataset"
"1111","","4","from_accuracy_dataset"
"1129","","2","from_accuracy_dataset"
"1163","","3","from_accuracy_dataset"
"1180","","7","from_accuracy_dataset"
"1188","","9","from_accuracy_dataset"
"1189","","7","from_accuracy_dataset"
"1190","","4","from_accuracy_dataset"
"1199","","3","from_accuracy_dataset"
"1210","","2","from_accuracy_dataset"
"1255","","2","from_accuracy_dataset"
"1260","","8","from_accuracy_dataset"
"1287","","1","from_accuracy_dataset"
"1288","","7","from_accuracy_dataset"
"1303","","8","from_accuracy_dataset"
"1306","","5","from_accuracy_dataset"
"1318","","4","from_accuracy_dataset"
"1322","","8","from_accuracy_dataset"
"1346","","0","from_accuracy_dataset"
"1348","","5","from_accuracy_dataset"
"1355","","3","from_accuracy_dataset"
"1398","","4","from_accuracy_dataset"
"1427","","7","from_accuracy_dataset"
"1465","","4","from_accuracy_dataset"
"1498","","3","from_accuracy_dataset"
"1516","","2","from_accuracy_dataset"
"1574","","1","from_accuracy_dataset"
"1610","","8","from_accuracy_dataset"
"1623","","1","from_accuracy_dataset"
"1632","","4","from_accuracy_dataset"
"1662","","1","from_accuracy_dataset"
"1684","","1","from_accuracy_dataset"
"1705","","3","from_accuracy_dataset"
"1709","","8","from_accuracy_dataset"
"1720","","3","from_accuracy_dataset"
"1750","","4","from_accuracy_dataset"
"1761","","5","from_accuracy_dataset"
"1771","","7","from_accuracy_dataset"
"1773","","2","from_accuracy_dataset"
"1794","","3","from_accuracy_dataset"
"1804","","0","from_accuracy_dataset"
"1814","","9","from_accuracy_dataset"
"1821","","0","from_accuracy_dataset"
"1833","","2","from_accuracy_dataset"
"1868","","3","from_accuracy_dataset"
"1875","","2","from_accuracy_dataset"
"1890","","6","from_accuracy_dataset"
"1906","","7","from_accuracy_dataset"
"1925","","8","from_accuracy_dataset"
"1959","","1","from_accuracy_dataset"
"2030","","4","from_accuracy_dataset"
"2065","","6","from_accuracy_dataset"
"2077","","0","from_accuracy_dataset"
"2080","","2","from_accuracy_dataset"
