index	filename	predicted_label	margin
6631	6631.bmp	9	0.000468
9734	9734.bmp	4	0.003350
9029	9029.bmp	9	0.004894
943	943.bmp	6	0.007353
9126	9126.bmp	3	0.013090
5839	5839.bmp	8	0.013672
6122	6122.bmp	5	0.020953
8074	8074.bmp	9	0.022326
3806	3806.bmp	8	0.028800
6011	6011.bmp	6	0.031939
1841	1841.bmp	4	0.033725
2093	2093.bmp	4	0.034334
4141	4141.bmp	8	0.040661
8585	8585.bmp	8	0.042417
2146	2146.bmp	7	0.042904
4369	4369.bmp	2	0.045764
2096	2096.bmp	7	0.049115
3091	3091.bmp	2	0.052473
6314	6314.bmp	4	0.055208
3620	3620.bmp	5	0.056897
