Strategy,Emotion_Class,Total Tested,Precision (%),Recall/Accuracy (%),F1-Score (%)
Zero-Shot,,0,0.0,0.0,0.0
Zero-Shot,اشمئزاز,12,100.0,83.3,90.9
Zero-Shot,اندهاش,14,0.0,0.0,0.0
Zero-Shot,حزن,17,56.7,100.0,72.3
Zero-Shot,خوف,16,73.3,68.8,71.0
Zero-Shot,غضب,17,100.0,41.2,58.3
Zero-Shot,فرح,24,84.0,87.5,85.7
Zero-Shot,قهر,0,0.0,0.0,0.0
Zero-Shot,مفاجأة,0,0.0,0.0,0.0
Few-Shot,,0,0.0,0.0,0.0
Few-Shot,اشتياق,0,0.0,0.0,0.0
Few-Shot,اشمئزاز,12,71.4,83.3,76.9
Few-Shot,اندهاش,14,0.0,0.0,0.0
Few-Shot,حزن,17,68.0,100.0,81.0
Few-Shot,خوف,16,90.9,62.5,74.1
Few-Shot,غضب,17,88.9,47.1,61.5
Few-Shot,فرح,24,84.0,87.5,85.7
Few-Shot,قهر,0,0.0,0.0,0.0
Few-Shot,مفاجأة,0,0.0,0.0,0.0
